GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Period,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date
22ABJPV6722G1ZK,SHOBHA TELECOM,ST/24-25/6,Regular,28/03/2025,24426,Chhattisgarh,No,20700,0,1863,1863,0,Mar'25,20/05/2025,Yes,,100%,,,
23AABCI2726B1ZA,INTERGLOBE AVIATION LIMITED,MP1252605AB95914,Regular,06/05/2025,9963,Chhattisgarh,No,9488,475,0,0,0,May'25,11/06/2025,Yes,,100%,,,
23AABCI2726B1ZA,INTERGLOBE AVIATION LIMITED,MP1252605AC08218,Regular,08/05/2025,5336,Chhattisgarh,No,5082,254,0,0,0,May'25,11/06/2025,Yes,,100%,,,
23AABCI2726B1ZA,INTERGLOBE AVIATION LIMITED,MP1252605AC11544,Regular,08/05/2025,4085,Chhattisgarh,No,3890,195,0,0,0,May'25,11/06/2025,Yes,,100%,,,
23AABCI2726B1ZA,INTERGLOBE AVIATION LIMITED,MP1252605AC24063,Regular,11/05/2025,7798,Chhattisgarh,No,7427,371,0,0,0,May'25,11/06/2025,Yes,,100%,,,
23AABCI2726B1ZA,INTERGLOBE AVIATION LIMITED,MP1252605AC36461,Regular,13/05/2025,5582,Chhattisgarh,No,5316,266,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AAICB5677R1ZQ,BLD PHARMATECH (INDIA) PRIVATE LIMITED,ININD430894,Regular,17/05/2025,778,Chhattisgarh,No,659,118.62,0,0,0,May'25,11/06/2025,Yes,,100%,,,
36AAICB5677R1ZQ,BLD PHARMATECH (INDIA) PRIVATE LIMITED,ININD432377,Regular,21/05/2025,1847,Chhattisgarh,No,1565,281.7,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AVRPJ0057C1ZZ,DHANLAXMI ENTERPRISES,6,Regular,11/04/2025,4012,Chhattisgarh,No,3400,0,306,306,0,Apr'25,16/05/2025,Yes,,100%,,,
22AIIPB9260D1ZP,BHATIA BROTHERS,25-26/BHATIA-155,Regular,05/05/2025,1628,Chhattisgarh,No,1380,0,124.2,124.2,0,May'25,12/06/2025,Yes,,100%,,,
08AFFPM2809H1ZH,KOTA GLASS WORKS,83,Regular,17/05/2025,738,Chhattisgarh,No,625.5,112.59,0,0,0,May'25,11/06/2025,Yes,,100%,,,
23AACCS7900E1ZR,SCIENTIFIC MES TECHNIK PVT LTD,252610228,Regular,17/05/2025,38399.98,Chhattisgarh,No,32542.36,5857.62,0,0,0,May'25,10/06/2025,Yes,,100%,E-Invoice,9589277ab669b2a0c296c22283b4365ae9db7341ee97f253c7f239829bb7c1b5,17/05/2025
21AACCN6194P1Z1,AIR INDIA LIMITED,212612BP05AAA976,Regular,11/05/2025,7434,Chhattisgarh,No,5837,292,0,0,0,May'25,11/06/2025,Yes,,100%,,,
22AAHCE1695D1ZW,EXA TECHNOLOGY AND SOLUTIONS (OPC) PRIVATE LIMITED,EXA/25-26/1016,Regular,01/05/2025,43896,Chhattisgarh,No,37200,0,3348,3348,0,May'25,11/06/2025,Yes,,100%,,,
09AAGCT1132P1Z1,TURNITIN INDIA PRIVATE LIMITED,IN-TIN-04067,Regular,30/05/2025,1974671,Chhattisgarh,No,1673450,301221,0,0,0,May'25,11/06/2025,Yes,,100%,E-Invoice,e8ec29cee26434fd74e6300fbe36e123cf5d8062b864efd450e749fa4b7abfa0,30/05/2025
22AEQPP5800D1ZQ,KANHAS PAPER POINT,706,Regular,08/05/2025,480,Chhattisgarh,No,406.78,0,36.61,36.61,0,May'25,05/06/2025,Yes,,100%,,,
33AABFE0031C1ZJ,ELMACK ENGG SERVICES,EES2526-0156,Regular,22/05/2025,475575,Chhattisgarh,No,403029.66,72545.34,0,0,0,May'25,06/06/2025,Yes,,100%,E-Invoice,4f8c6cb177e5aebb7389ab7624bbb0210a876af9b38730a8dad649a81471b5cd,22/05/2025
